"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\.cz-config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 31
"e:\java-projects\smart-community\community-admin\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\java-projects\smart-community\community-admin\.prettierrc.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 30
"e:\java-projects\smart-community\community-admin\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 10, 86
"e:\java-projects\smart-community\community-admin\README.md", "Markdown", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 21
"e:\java-projects\smart-community\community-admin\commitlint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 27
"e:\java-projects\smart-community\community-admin\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\java-projects\smart-community\community-admin\package.json", "JSON", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 76
"e:\java-projects\smart-community\community-admin\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"e:\java-projects\smart-community\community-admin\src\api\auth.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"e:\java-projects\smart-community\community-admin\src\api\building\building.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 15, 5, 44
"e:\java-projects\smart-community\community-admin\src\api\car\car.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"e:\java-projects\smart-community\community-admin\src\api\carport\carport.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"e:\java-projects\smart-community\community-admin\src\api\community\community.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 18, 3, 38
"e:\java-projects\smart-community\community-admin\src\api\house\house.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"e:\java-projects\smart-community\community-admin\src\api\mall\mall.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 18, 3, 41
"e:\java-projects\smart-community\community-admin\src\api\message\sms.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"e:\java-projects\smart-community\community-admin\src\api\owner\owner.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\java-projects\smart-community\community-admin\src\api\park\park.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"e:\java-projects\smart-community\community-admin\src\api\property\complaint.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"e:\java-projects\smart-community\community-admin\src\api\property\notice.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"e:\java-projects\smart-community\community-admin\src\api\property\phone.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"e:\java-projects\smart-community\community-admin\src\api\property\repair.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"e:\java-projects\smart-community\community-admin\src\api\record\record.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"e:\java-projects\smart-community\community-admin\src\api\safe\inspectionItem.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 10, 2, 23
"e:\java-projects\smart-community\community-admin\src\api\safe\path.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 5, 27
"e:\java-projects\smart-community\community-admin\src\api\safe\plan.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 19, 5, 41
"e:\java-projects\smart-community\community-admin\src\api\safe\point.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 6, 31
"e:\java-projects\smart-community\community-admin\src\api\smart\index.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 20, 102
"e:\java-projects\smart-community\community-admin\src\api\society\activity.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 4, 47
"e:\java-projects\smart-community\community-admin\src\api\society\invitation.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\java-projects\smart-community\community-admin\src\api\society\order.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 5, 36
"e:\java-projects\smart-community\community-admin\src\api\sys\dict.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"e:\java-projects\smart-community\community-admin\src\api\sys\log.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\java-projects\smart-community\community-admin\src\api\sys\menu.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 7, 29
"e:\java-projects\smart-community\community-admin\src\api\sys\orgs.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"e:\java-projects\smart-community\community-admin\src\api\sys\params.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"e:\java-projects\smart-community\community-admin\src\api\sys\post.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"e:\java-projects\smart-community\community-admin\src\api\sys\role.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"e:\java-projects\smart-community\community-admin\src\api\sys\role_log.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
